TOP.614508ad.00042b5e	START
TOP.61450cf2.0004e6ed	user_options->kernel_accel	0
TOP.61450cf2.0004e6ed	user_options->kernel_loops	0
TOP.61450cf2.0004e6ed	user_options->kernel_threads	0
TOP.61450cf2.0004e6ed	user_options->keyspace	0
TOP.61450cf2.0004e6ed	user_options->left	0
TOP.61450cf2.0004e6ed	user_options->logfile_disable	0
TOP.61450cf2.0004e6ed	user_options->loopback	0
TOP.61450cf2.0004e6ed	user_options->machine_readable	0
TOP.61450cf2.0004e6ed	user_options->markov_classic	0
TOP.61450cf2.0004e6ed	user_options->markov_disable	0
TOP.61450cf2.0004e6ed	user_options->markov_inverse	0
TOP.61450cf2.0004e6ed	user_options->markov_threshold	256
TOP.61450cf2.0004e6ed	user_options->multiply_accel_disable	0
TOP.61450cf2.0004e6ed	user_options->backend_info	0
TOP.61450cf2.0004e6ed	user_options->backend_vector_width	0
TOP.61450cf2.0004e6ed	user_options->optimized_kernel_enable	0
TOP.61450cf2.0004e6ed	user_options->outfile_autohex	1
TOP.61450cf2.0004e6ed	user_options->outfile_check_timer	5
TOP.61450cf2.0004e6ed	user_options->outfile_format	3
TOP.61450cf2.0004e6ed	user_options->wordlist_autohex_disable	0
TOP.61450cf2.0004e6ed	user_options->potfile_disable	0
TOP.61450cf2.0004e6ed	user_options->progress_only	0
TOP.61450cf2.0004e6ed	user_options->quiet	1
TOP.61450cf2.0004e6ed	user_options->remove	0
TOP.61450cf2.0004e6ed	user_options->remove_timer	60
TOP.61450cf2.0004e6ed	user_options->restore	0
TOP.61450cf2.0004e6ed	user_options->restore_disable	1
TOP.61450cf2.0004e6ed	user_options->restore_timer	60
TOP.61450cf2.0004e6ed	user_options->rp_files_cnt	0
TOP.61450cf2.0004e6ed	user_options->rp_gen	0
TOP.61450cf2.0004e6ed	user_options->rp_gen_func_max	4
TOP.61450cf2.0004e6ed	user_options->rp_gen_func_min	1
TOP.61450cf2.0004e6ed	user_options->rp_gen_seed	0
TOP.61450cf2.0004e6ed	user_options->runtime	0
TOP.61450cf2.0004e6ed	user_options->scrypt_tmto	0
TOP.61450cf2.0004e6ed	user_options->segment_size	33554432
TOP.61450cf2.0004e6ed	user_options->self_test_disable	0
TOP.61450cf2.0004e6ed	user_options->slow_candidates	0
TOP.61450cf2.0004e6ed	user_options->show	1
TOP.61450cf2.0004e6ed	user_options->speed_only	0
TOP.61450cf2.0004e6ed	user_options->spin_damp	0
TOP.61450cf2.0004e6ed	user_options->status	0
TOP.61450cf2.0004e6ed	user_options->status_json	0
TOP.61450cf2.0004e6ed	user_options->status_timer	10
TOP.61450cf2.0004e6ed	user_options->stdout_flag	0
TOP.61450cf2.0004e6ed	user_options->usage	0
TOP.61450cf2.0004e6ed	user_options->username	0
TOP.61450cf2.0004e6ed	user_options->veracrypt_pim_start	485
TOP.61450cf2.0004e6ed	user_options->veracrypt_pim_stop	485
TOP.61450cf2.0004e6ed	user_options->version	0
TOP.61450cf2.0004e6ed	user_options->workload_profile	2
TOP.61450cf2.0004e6ed	user_options->brain_client	0
TOP.61450cf2.0004e6ed	user_options->brain_client_features	2
TOP.61450cf2.0004e6ed	user_options->brain_server	0
TOP.61450cf2.0004e6ed	user_options->brain_server_timer	300
TOP.61450cf2.0004e6ed	user_options->brain_port	6863
TOP.61450cf2.0004e6ed	user_options->brain_session	0
TOP.61450cf2.0004e6ed	proc_start	1631915250
TOP.61450cf2.0004e6ed	proc_stop	1631915250
TOP.61450cf2.0004e6ed	STOP
TOP.61450d60.000496bb	START
TOP.61450d60.000496bb	folder_config->cwd	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\static\app_utilities\hashcat
TOP.61450d60.000496bb	folder_config->install_dir	.
TOP.61450d60.000496bb	folder_config->profile_dir	.
TOP.61450d60.000496bb	folder_config->session_dir	.
TOP.61450d60.000496bb	folder_config->shared_dir	.
TOP.61450d60.000496bb	user_options->encoding_from	utf-8
TOP.61450d60.000496bb	user_options->encoding_to	utf-8
TOP.61450d60.000496bb	user_options->rule_buf_l	:
TOP.61450d60.000496bb	user_options->rule_buf_r	:
TOP.61450d60.000496bb	user_options->session	show
TOP.61450d60.000496bb	user_options->separator	:
TOP.61450d60.000496bb	user_options->limit	0
TOP.61450d60.000496bb	user_options->skip	0
TOP.61450d60.000496bb	user_options->attack_mode	100
TOP.61450d60.000496bb	user_options->benchmark	0
TOP.61450d60.000496bb	user_options->benchmark_all	0
TOP.61450d60.000496bb	user_options->bitmap_max	18
TOP.61450d60.000496bb	user_options->bitmap_min	16
TOP.61450d60.000496bb	user_options->debug_mode	0
TOP.61450d60.000496bb	user_options->hash_info	0
TOP.61450d60.000496bb	user_options->force	0
TOP.61450d60.000496bb	user_options->hwmon_disable	0
TOP.61450d60.000496bb	user_options->hwmon_temp_abort	90
TOP.61450d60.000496bb	user_options->hash_mode	0
TOP.61450d60.000496bb	user_options->hex_charset	0
TOP.61450d60.000496bb	user_options->hex_salt	0
TOP.61450d60.000496bb	user_options->hex_wordlist	0
TOP.61450d60.000496bb	user_options->hook_threads	0
TOP.61450d60.000496bb	user_options->identify	0
TOP.61450d60.000496bb	user_options->increment	0
TOP.61450d60.000496bb	user_options->increment_max	256
TOP.61450d60.000496bb	user_options->increment_min	1
TOP.61450d60.000496bb	user_options->keep_guessing	0
TOP.61450d60.000496bb	user_options->kernel_accel	0
TOP.61450d60.000496bb	user_options->kernel_loops	0
TOP.61450d60.000496bb	user_options->kernel_threads	0
TOP.61450d60.000496bb	user_options->keyspace	0
TOP.61450d60.000496bb	user_options->left	0
TOP.61450d60.000496bb	user_options->logfile_disable	0
TOP.61450d60.000496bb	user_options->loopback	0
TOP.61450d60.000496bb	user_options->machine_readable	0
TOP.61450d60.000496bb	user_options->markov_classic	0
TOP.61450d60.000496bb	user_options->markov_disable	0
TOP.61450d60.000496bb	user_options->markov_inverse	0
TOP.61450d60.000496bb	user_options->markov_threshold	256
TOP.61450d60.000496bb	user_options->multiply_accel_disable	0
TOP.61450d60.000496bb	user_options->backend_info	0
TOP.61450d60.000496bb	user_options->backend_vector_width	0
TOP.61450d60.000496bb	user_options->optimized_kernel_enable	0
TOP.61450d60.000496bb	user_options->outfile_autohex	1
TOP.61450d60.000496bb	user_options->outfile_check_timer	5
TOP.61450d60.000496bb	user_options->outfile_format	3
TOP.61450d60.000496bb	user_options->wordlist_autohex_disable	0
TOP.61450d60.000496bb	user_options->potfile_disable	0
TOP.61450d60.000496bb	user_options->progress_only	0
TOP.61450d60.000496bb	user_options->quiet	1
TOP.61450d60.000496bb	user_options->remove	0
TOP.61450d60.000496bb	user_options->remove_timer	60
TOP.61450d60.000496bb	user_options->restore	0
TOP.61450d60.000496bb	user_options->restore_disable	1
TOP.61450d60.000496bb	user_options->restore_timer	60
TOP.61450d60.000496bb	user_options->rp_files_cnt	0
TOP.61450d60.000496bb	user_options->rp_gen	0
TOP.61450d60.000496bb	user_options->rp_gen_func_max	4
TOP.61450d60.000496bb	user_options->rp_gen_func_min	1
TOP.61450d60.000496bb	user_options->rp_gen_seed	0
TOP.61450d60.000496bb	user_options->runtime	0
TOP.61450d60.000496bb	user_options->scrypt_tmto	0
TOP.61450d60.000496bb	user_options->segment_size	33554432
TOP.61450d60.000496bb	user_options->self_test_disable	0
TOP.61450d60.000496bb	user_options->slow_candidates	0
TOP.61450d60.000496bb	user_options->show	1
TOP.61450d60.000496bb	user_options->speed_only	0
TOP.61450d60.000496bb	user_options->spin_damp	0
TOP.61450d60.000496bb	user_options->status	0
TOP.61450d60.000496bb	user_options->status_json	0
TOP.61450d60.000496bb	user_options->status_timer	10
TOP.61450d60.000496bb	user_options->stdout_flag	0
TOP.61450d60.000496bb	user_options->usage	0
TOP.61450d60.000496bb	user_options->username	0
TOP.61450d60.000496bb	user_options->veracrypt_pim_start	485
TOP.61450d60.000496bb	user_options->veracrypt_pim_stop	485
TOP.61450d60.000496bb	user_options->version	0
TOP.61450d60.000496bb	user_options->workload_profile	2
TOP.61450d60.000496bb	user_options->brain_client	0
TOP.61450d60.000496bb	user_options->brain_client_features	2
TOP.61450d60.000496bb	user_options->brain_server	0
TOP.61450d60.000496bb	user_options->brain_server_timer	300
TOP.61450d60.000496bb	user_options->brain_port	6863
TOP.61450d60.000496bb	user_options->brain_session	0
TOP.61450d60.000496bb	proc_start	1631915360
TOP.61450d60.000496bb	proc_stop	1631915360
TOP.61450d60.000496bb	STOP
TOP.61450e52.00082353	START
TOP.61450e52.00082353	folder_config->cwd	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\static\app_utilities\hashcat
TOP.61450e52.00082353	folder_config->install_dir	.
TOP.61450e52.00082353	folder_config->profile_dir	.
TOP.61450e52.00082353	folder_config->session_dir	.
TOP.61450e52.00082353	folder_config->shared_dir	.
TOP.61450e52.00082353	user_options->encoding_from	utf-8
TOP.61450e52.00082353	user_options->encoding_to	utf-8
TOP.61450e52.00082353	user_options->rule_buf_l	:
TOP.61450e52.00082353	user_options->rule_buf_r	:
TOP.61450e52.00082353	user_options->session	show
TOP.61450e52.00082353	user_options->separator	:
TOP.61450e52.00082353	user_options->limit	0
TOP.61450e52.00082353	user_options->skip	0
TOP.61450e52.00082353	user_options->attack_mode	100
TOP.61450e52.00082353	user_options->benchmark	0
TOP.61450e52.00082353	user_options->benchmark_all	0
TOP.61450e52.00082353	user_options->bitmap_max	18
TOP.61450e52.00082353	user_options->bitmap_min	16
TOP.61450e52.00082353	user_options->debug_mode	0
TOP.61450e52.00082353	user_options->hash_info	0
TOP.61450e52.00082353	user_options->force	0
TOP.61450e52.00082353	user_options->hwmon_disable	0
TOP.61450e52.00082353	user_options->hwmon_temp_abort	90
TOP.61450e52.00082353	user_options->hash_mode	1000
TOP.61450e52.00082353	user_options->hex_charset	0
TOP.61450e52.00082353	user_options->hex_salt	0
TOP.61450e52.00082353	user_options->hex_wordlist	0
TOP.61450e52.00082353	user_options->hook_threads	0
TOP.61450e52.00082353	user_options->identify	0
TOP.61450e52.00082353	user_options->increment	0
TOP.61450e52.00082353	user_options->increment_max	256
TOP.61450e52.00082353	user_options->increment_min	1
TOP.61450e52.00082353	user_options->keep_guessing	0
TOP.61450e52.00082353	user_options->kernel_accel	0
TOP.61450e52.00082353	user_options->kernel_loops	0
TOP.61450e52.00082353	user_options->kernel_threads	0
TOP.61450e52.00082353	user_options->keyspace	0
TOP.61450e52.00082353	user_options->left	0
TOP.61450e52.00082353	user_options->logfile_disable	0
TOP.61450e52.00082353	user_options->loopback	0
TOP.61450e52.00082353	user_options->machine_readable	0
TOP.61450e52.00082353	user_options->markov_classic	0
TOP.61450e52.00082353	user_options->markov_disable	0
TOP.61450e52.00082353	user_options->markov_inverse	0
TOP.61450e52.00082353	user_options->markov_threshold	256
TOP.61450e52.00082353	user_options->multiply_accel_disable	0
TOP.61450e52.00082353	user_options->backend_info	0
TOP.61450e52.00082353	user_options->backend_vector_width	0
TOP.61450e52.00082353	user_options->optimized_kernel_enable	0
TOP.61450e52.00082353	user_options->outfile_autohex	1
TOP.61450e52.00082353	user_options->outfile_check_timer	5
TOP.61450e52.00082353	user_options->outfile_format	3
TOP.61450e52.00082353	user_options->wordlist_autohex_disable	0
TOP.61450e52.00082353	user_options->potfile_disable	0
TOP.61450e52.00082353	user_options->progress_only	0
TOP.61450e52.00082353	user_options->quiet	1
TOP.61450e52.00082353	user_options->remove	0
TOP.61450e52.00082353	user_options->remove_timer	60
TOP.61450e52.00082353	user_options->restore	0
TOP.61450e52.00082353	user_options->restore_disable	1
TOP.61450e52.00082353	user_options->restore_timer	60
TOP.61450e52.00082353	user_options->rp_files_cnt	0
TOP.61450e52.00082353	user_options->rp_gen	0
TOP.61450e52.00082353	user_options->rp_gen_func_max	4
TOP.61450e52.00082353	user_options->rp_gen_func_min	1
TOP.61450e52.00082353	user_options->rp_gen_seed	0
TOP.61450e52.00082353	user_options->runtime	0
TOP.61450e52.00082353	user_options->scrypt_tmto	0
TOP.61450e52.00082353	user_options->segment_size	33554432
TOP.61450e52.00082353	user_options->self_test_disable	0
TOP.61450e52.00082353	user_options->slow_candidates	0
TOP.61450e52.00082353	user_options->show	1
TOP.61450e52.00082353	user_options->speed_only	0
TOP.61450e52.00082353	user_options->spin_damp	0
TOP.61450e52.00082353	user_options->status	0
TOP.61450e52.00082353	user_options->status_json	0
TOP.61450e52.00082353	user_options->status_timer	10
TOP.61450e52.00082353	user_options->stdout_flag	0
TOP.61450e52.00082353	user_options->usage	0
TOP.61450e52.00082353	user_options->username	0
TOP.61450e52.00082353	user_options->veracrypt_pim_start	485
TOP.61450e52.00082353	user_options->veracrypt_pim_stop	485
TOP.61450e52.00082353	user_options->version	0
TOP.61450e52.00082353	user_options->workload_profile	2
TOP.61450e52.00082353	user_options->brain_client	0
TOP.61450e52.00082353	user_options->brain_client_features	2
TOP.61450e52.00082353	user_options->brain_server	0
TOP.61450e52.00082353	user_options->brain_server_timer	300
TOP.61450e52.00082353	user_options->brain_port	6863
TOP.61450e52.00082353	user_options->brain_session	0
TOP.61450e52.00082353	proc_start	1631915602
TOP.61450e52.00082353	proc_stop	1631915603
TOP.61450e52.00082353	STOP
TOP.61450e77.000c5201	START
TOP.61450e77.000c5201	folder_config->cwd	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\static\app_utilities\hashcat
TOP.61450e77.000c5201	folder_config->install_dir	.
TOP.61450e77.000c5201	folder_config->profile_dir	.
TOP.61450e77.000c5201	folder_config->session_dir	.
TOP.61450e77.000c5201	folder_config->shared_dir	.
TOP.61450e77.000c5201	user_options->encoding_from	utf-8
TOP.61450e77.000c5201	user_options->encoding_to	utf-8
TOP.61450e77.000c5201	user_options->rule_buf_l	:
TOP.61450e77.000c5201	user_options->rule_buf_r	:
TOP.61450e77.000c5201	user_options->session	show
TOP.61450e77.000c5201	user_options->separator	:
TOP.61450e77.000c5201	user_options->limit	0
TOP.61450e77.000c5201	user_options->skip	0
TOP.61450e77.000c5201	user_options->attack_mode	100
TOP.61450e77.000c5201	user_options->benchmark	0
TOP.61450e77.000c5201	user_options->benchmark_all	0
TOP.61450e77.000c5201	user_options->bitmap_max	18
TOP.61450e77.000c5201	user_options->bitmap_min	16
TOP.61450e77.000c5201	user_options->debug_mode	0
TOP.61450e77.000c5201	user_options->hash_info	0
TOP.61450e77.000c5201	user_options->force	0
TOP.61450e77.000c5201	user_options->hwmon_disable	0
TOP.61450e77.000c5201	user_options->hwmon_temp_abort	90
TOP.61450e77.000c5201	user_options->hash_mode	0
TOP.61450e77.000c5201	user_options->hex_charset	0
TOP.61450e77.000c5201	user_options->hex_salt	0
TOP.61450e77.000c5201	user_options->hex_wordlist	0
TOP.61450e77.000c5201	user_options->hook_threads	0
TOP.61450e77.000c5201	user_options->identify	0
TOP.61450e77.000c5201	user_options->increment	0
TOP.61450e77.000c5201	user_options->increment_max	256
TOP.61450e77.000c5201	user_options->increment_min	1
TOP.61450e77.000c5201	user_options->keep_guessing	0
TOP.61450e77.000c5201	user_options->kernel_accel	0
TOP.61450e77.000c5201	user_options->kernel_loops	0
TOP.61450e77.000c5201	user_options->kernel_threads	0
TOP.61450e77.000c5201	user_options->keyspace	0
TOP.61450e77.000c5201	user_options->left	0
TOP.61450e77.000c5201	user_options->logfile_disable	0
TOP.61450e77.000c5201	user_options->loopback	0
TOP.61450e77.000c5201	user_options->machine_readable	0
TOP.61450e77.000c5201	user_options->markov_classic	0
TOP.61450e77.000c5201	user_options->markov_disable	0
TOP.61450e77.000c5201	user_options->markov_inverse	0
TOP.61450e77.000c5201	user_options->markov_threshold	256
TOP.61450e77.000c5201	user_options->multiply_accel_disable	0
TOP.61450e77.000c5201	user_options->backend_info	0
TOP.61450e77.000c5201	user_options->backend_vector_width	0
TOP.61450e77.000c5201	user_options->optimized_kernel_enable	0
